	Time	Time (s)	Distance [m]	Internal Batte [V]	Datalogger_Tem [°C]	Battery [V]	GPS_Speed [km/h]	GPS_Nsat [#]	GPS_LatAcc [g]	GPS_LonAcc [g]	GPS_Slope [deg]	GPS_Heading [deg]	GPS_Gyro [deg/s]	GPS_Altitude [m]	GPS_PosAccuracy [m]	
Lap: 1	 01.20.330	0.000	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.100	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.200	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.300	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.400	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.500	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.600	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.700	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.800	0.00	3.885	-273.150	0.000	0.104	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.900	0.02	3.885	-273.150	0.000	0.748	10.000	0.000	0.000	-0.014	2.372	-0.022	168.000	1.500	
		1.000	0.06	3.885	-273.150	0.000	1.280	10.000	0.000	0.000	-0.131	32.084	-0.022	168.000	1.500	
		1.100	0.08	3.885	-273.150	0.000	0.775	10.000	0.000	0.000	-0.352	86.481	-0.022	168.000	1.500	
		1.200	0.13	3.885	-273.150	0.000	1.646	10.000	0.000	0.000	-0.378	93.266	0.005	168.000	1.500	
		1.300	0.23	3.885	-273.150	0.000	3.424	10.000	-0.000	0.088	-0.402	93.286	0.047	168.000	1.534	
		1.400	0.40	3.885	-273.150	0.000	6.005	10.000	-0.001	0.445	-0.497	93.364	-0.015	168.000	1.665	
		1.500	0.65	3.885	-273.150	0.000	8.800	10.000	-0.001	0.745	-0.573	93.427	-0.223	168.000	1.770	
		1.600	0.99	3.885	-273.150	0.000	11.920	10.000	-0.003	0.746	-0.597	93.469	-0.425	168.000	1.754	
		1.700	1.42	3.885	-273.150	0.000	15.140	10.000	-0.003	0.706	-0.628	93.532	-0.493	168.000	1.735	
		1.800	1.93	3.885	-273.150	0.000	17.618	10.000	-0.003	0.641	-0.636	93.573	-0.464	168.000	1.718	
		1.900	2.48	3.885	-273.150	0.000	19.537	9.390	-0.003	0.563	-0.632	93.629	-0.351	168.000	1.692	
		2.000	3.09	3.885	-273.150	0.000	21.288	9.000	-0.001	0.487	-0.630	93.656	-0.165	168.000	1.680	
		2.100	3.75	3.885	-273.150	0.000	22.784	9.000	0.002	0.430	-0.614	93.687	0.127	168.000	1.673	
		2.200	4.44	3.885	-273.150	0.000	24.194	9.000	0.006	0.397	-0.603	93.718	0.490	168.000	1.663	
		2.300	5.17	3.885	-273.150	0.000	25.562	9.000	0.010	0.389	-0.584	93.725	0.834	168.000	1.660	
		2.400	5.94	3.885	-273.150	0.000	26.747	9.000	0.013	0.403	-0.534	93.725	1.094	168.000	1.645	
		2.500	6.74	3.885	-273.150	0.000	28.280	9.000	0.014	0.431	-0.466	93.707	1.183	168.000	1.640	
		2.600	7.61	3.885	-273.150	0.000	30.112	9.000	0.015	0.463	-0.428	93.673	1.173	168.000	1.632	
		2.700	8.53	3.885	-273.150	0.000	31.966	9.000	0.015	0.491	-0.404	93.628	1.110	168.000	1.621	
		2.800	9.49	3.885	-273.150	0.000	33.820	9.000	0.014	0.515	-0.385	93.580	0.977	168.000	1.620	
		2.900	10.51	3.885	-273.150	0.000	35.674	9.000	0.012	0.535	-0.368	93.523	0.793	168.000	1.611	
		3.000	11.60	3.885	-273.150	0.000	37.643	9.000	0.008	0.554	-0.361	93.463	0.536	168.000	1.610	
		3.100	12.73	3.885	-273.150	0.000	39.700	9.000	0.004	0.572	-0.361	93.404	0.299	168.000	1.600	
		3.200	13.92	3.885	-273.150	0.000	41.663	9.000	-0.000	0.590	-0.361	93.334	0.039	168.000	1.590	
		3.300	15.18	3.885	-273.150	0.000	43.826	9.000	-0.005	0.605	-0.367	93.274	-0.221	168.000	1.590	
		3.400	16.49	3.885	-273.150	0.000	45.998	9.000	-0.010	0.617	-0.372	93.204	-0.478	168.000	1.590	
		3.500	17.89	3.885	-273.150	0.000	48.312	9.000	-0.016	0.623	-0.371	93.143	-0.714	168.000	1.590	
		3.600	19.34	3.885	-273.150	0.000	50.768	9.000	-0.022	0.622	-0.366	93.078	-0.911	168.000	1.588	
		3.700	20.86	3.885	-273.150	0.000	53.118	9.000	-0.027	0.617	-0.360	93.042	-1.025	168.000	1.580	
		3.800	22.44	3.885	-273.150	0.000	55.362	9.000	-0.030	0.610	-0.353	93.007	-1.119	168.000	1.580	
		3.900	24.11	3.885	-273.150	0.000	57.572	9.000	-0.034	0.602	-0.341	92.974	-1.209	168.000	1.580	
		4.000	25.82	3.885	-273.150	0.000	59.838	9.000	-0.037	0.591	-0.329	92.947	-1.286	168.000	1.577	
		4.100	27.59	3.885	-273.150	0.000	61.880	9.000	-0.041	0.579	-0.317	92.912	-1.366	168.000	1.567	
		4.200	29.40	3.885	-273.150	0.000	63.215	9.000	-0.044	0.567	-0.303	92.880	-1.413	168.000	1.560	
		4.300	31.23	3.885	-273.150	0.000	64.180	9.000	-0.046	0.553	-0.288	92.852	-1.460	168.000	1.560	
		4.400	33.11	3.885	-273.150	0.000	65.178	9.000	-0.049	0.540	-0.273	92.817	-1.498	168.000	1.560	
		4.500	35.01	3.885	-273.150	0.000	66.150	9.450	-0.051	0.526	-0.258	92.786	-1.522	168.000	1.560	
		4.600	36.95	3.885	-273.150	0.000	67.900	10.000	-0.053	0.500	-0.238	92.730	-1.601	168.000	1.560	
		4.700	38.97	3.885	-273.150	0.000	70.730	10.000	-0.050	0.467	-0.212	92.618	-1.497	168.000	1.560	
		4.800	41.10	3.885	-273.150	0.000	73.905	10.000	-0.035	0.456	-0.203	92.493	-1.001	168.000	1.560	
		4.900	43.28	3.885	-273.150	0.000	76.228	10.000	-0.021	0.461	-0.213	92.408	-0.560	168.000	1.560	
		5.000	45.51	3.885	-273.150	0.000	77.876	10.000	-0.013	0.466	-0.225	92.349	-0.309	168.000	1.566	
		5.100	47.79	3.885	-273.150	0.000	79.588	10.000	-0.007	0.471	-0.240	92.290	-0.155	168.000	1.570	
		5.200	50.11	3.885	-273.150	0.000	81.272	10.000	-0.005	0.474	-0.258	92.239	-0.098	168.000	1.570	
		5.300	52.51	3.885	-273.150	0.000	83.007	10.000	-0.004	0.473	-0.280	92.191	-0.107	168.000	1.570	
		5.400	54.93	3.885	-273.150	0.000	84.758	10.000	-0.005	0.468	-0.299	92.144	-0.131	168.000	1.570	
		5.500	57.40	3.885	-273.150	0.000	86.432	10.000	-0.007	0.459	-0.312	92.106	-0.154	168.000	1.570	
		5.600	59.92	3.885	-273.150	0.000	88.080	10.000	-0.007	0.445	-0.324	92.070	-0.178	168.000	1.562	
		5.700	62.49	3.885	-273.150	0.000	89.728	10.000	-0.007	0.427	-0.331	92.035	-0.183	168.000	1.560	
		5.800	65.13	3.885	-273.150	0.000	91.392	10.000	-0.006	0.404	-0.337	92.009	-0.143	168.000	1.551	
		5.900	67.78	3.885	-273.150	0.000	92.770	10.000	-0.005	0.380	-0.333	91.985	-0.116	168.000	1.550	
		6.000	70.47	3.885	-273.150	0.000	94.109	10.000	-0.005	0.355	-0.327	91.972	-0.092	168.000	1.550	
		6.100	73.20	3.885	-273.150	0.000	95.352	10.000	-0.006	0.334	-0.321	91.950	-0.113	168.000	1.550	
		6.200	75.99	3.885	-273.150	0.000	96.500	10.000	-0.008	0.316	-0.315	91.937	-0.160	168.000	1.550	
		6.300	78.78	3.885	-273.150	0.000	97.533	10.000	-0.010	0.306	-0.309	91.914	-0.230	168.000	1.540	
		6.400	81.60	3.885	-273.150	0.000	98.660	10.000	-0.013	0.304	-0.304	91.901	-0.277	168.000	1.540	
		6.500	84.45	3.885	-273.150	0.000	99.690	10.000	-0.015	0.309	-0.310	91.879	-0.320	168.000	1.540	
		6.600	87.33	3.885	-273.150	0.000	100.744	10.000	-0.015	0.316	-0.316	91.867	-0.317	168.000	1.540	
		6.700	90.28	3.885	-273.150	0.000	102.008	10.000	-0.013	0.325	-0.322	91.855	-0.286	168.000	1.538	
		6.800	93.24	3.885	-273.150	0.000	103.328	10.000	-0.011	0.331	-0.333	91.841	-0.215	168.000	1.530	
		6.900	96.23	3.885	-273.150	0.000	104.564	10.000	-0.009	0.335	-0.339	91.815	-0.160	168.000	1.530	
		7.000	99.26	3.885	-273.150	0.000	105.800	10.000	-0.009	0.335	-0.345	91.780	-0.165	168.000	1.530	
		7.100	102.35	3.885	-273.150	0.000	107.019	10.000	-0.010	0.332	-0.349	91.737	-0.196	168.000	1.530	
		7.200	105.44	3.885	-273.150	0.000	108.184	10.000	-0.012	0.328	-0.349	91.678	-0.236	168.000	1.530	
		7.300	108.57	3.885	-273.150	0.000	109.385	10.000	-0.013	0.323	-0.347	91.611	-0.251	168.000	1.530	
		7.400	111.73	3.885	-273.150	0.000	110.518	10.000	-0.011	0.318	-0.341	91.524	-0.225	168.000	1.530	
		7.500	114.93	3.885	-273.150	0.000	111.651	10.000	-0.006	0.314	-0.338	91.425	-0.136	168.000	1.530	
		7.600	118.19	3.885	-273.150	0.000	112.795	10.000	-0.002	0.309	-0.338	91.313	-0.027	168.000	1.530	
		7.700	121.44	3.885	-273.150	0.000	113.928	10.000	0.002	0.303	-0.341	91.189	0.057	168.000	1.530	
		7.800	124.74	3.885	-273.150	0.000	115.061	10.000	0.002	0.296	-0.346	91.059	0.081	168.000	1.530	
		7.900	128.06	3.885	-273.150	0.000	116.140	10.000	-0.007	0.286	-0.352	90.917	-0.054	168.000	1.530	
		8.000	131.44	3.885	-273.150	0.000	117.180	10.000	-0.026	0.275	-0.362	90.756	-0.386	168.000	1.530	
		8.100	134.82	3.885	-273.150	0.000	118.149	10.000	-0.053	0.262	-0.370	90.590	-0.857	168.000	1.530	
		8.200	138.23	3.885	-273.150	0.000	119.076	10.000	-0.085	0.250	-0.380	90.403	-1.435	168.000	1.530	
		8.300	141.66	3.885	-273.150	0.000	120.003	10.000	-0.121	0.239	-0.391	90.202	-2.064	168.000	1.530	
		8.400	145.12	3.885	-273.150	0.000	120.790	10.000	-0.154	0.230	-0.399	89.978	-2.621	168.000	1.530	
		8.500	148.63	3.885	-273.150	0.000	121.592	10.000	-0.179	0.225	-0.409	89.722	-3.061	168.000	1.530	
		8.600	152.13	3.885	-273.150	0.000	122.416	10.000	-0.196	0.223	-0.421	89.445	-3.321	168.000	1.530	
		8.700	155.65	3.885	-273.150	0.000	123.160	10.000	-0.204	0.225	-0.433	89.153	-3.423	168.000	1.530	
		8.800	159.20	3.885	-273.150	0.000	123.964	10.000	-0.203	0.228	-0.445	88.829	-3.361	167.170	1.530	
		8.900	162.81	3.885	-273.150	0.000	124.883	10.000	-0.198	0.230	-0.452	88.485	-3.226	167.000	1.530	
		9.000	166.40	3.885	-273.150	0.000	125.720	10.000	-0.192	0.231	-0.463	88.122	-3.084	167.000	1.530	
		9.100	170.03	3.885	-273.150	0.000	126.637	10.000	-0.190	0.231	-0.469	87.757	-2.985	167.000	1.530	
		9.200	173.67	3.885	-273.150	0.000	127.468	10.000	-0.195	0.230	-0.475	87.380	-3.023	167.000	1.530	
		9.300	177.34	3.885	-273.150	0.000	128.292	10.000	-0.212	0.230	-0.481	86.991	-3.229	167.000	1.530	
		9.400	181.07	3.885	-273.150	0.000	129.121	10.000	-0.241	0.231	-0.487	86.610	-3.658	167.000	1.530	
		9.500	184.79	3.885	-273.150	0.000	129.848	10.000	-0.279	0.230	-0.499	86.244	-4.183	167.000	1.530	
		9.600	188.53	3.885	-273.150	0.000	130.663	10.000	-0.323	0.223	-0.505	85.878	-4.799	167.000	1.530	
		9.700	192.29	3.885	-273.150	0.000	131.384	10.000	-0.369	0.206	-0.510	85.515	-5.431	167.000	1.530	
		9.800	196.07	3.885	-273.150	0.000	132.150	10.000	-0.410	0.165	-0.517	85.172	-5.987	167.000	1.530	
		9.900	199.91	3.885	-273.150	0.000	133.057	10.000	-0.437	0.090	-0.528	84.829	-6.305	167.000	1.530	
		10.000	203.72	3.885	-273.150	0.000	133.278	10.000	-0.447	-0.017	-0.533	84.496	-6.396	167.000	1.530	
		10.100	207.53	3.885	-273.150	0.000	133.175	10.000	-0.438	-0.157	-0.533	84.156	-6.244	167.000	1.527	
		10.200	211.33	3.885	-273.150	0.000	132.708	10.000	-0.409	-0.325	-0.531	83.823	-5.831	167.000	1.520	
		10.300	215.12	3.885	-273.150	0.000	131.028	10.000	-0.359	-0.509	-0.523	83.470	-5.143	167.000	1.520	
		10.400	218.80	3.885	-273.150	0.000	128.725	10.000	-0.299	-0.683	-0.511	83.104	-4.332	167.000	1.520	
		10.500	222.40	3.885	-273.150	0.000	125.884	10.000	-0.236	-0.831	-0.500	82.729	-3.458	167.000	1.520	
		10.600	225.90	3.885	-273.150	0.000	122.178	10.000	-0.176	-0.940	-0.490	82.330	-2.623	167.000	1.520	
		10.700	229.28	3.885	-273.150	0.000	118.248	10.000	-0.126	-0.999	-0.482	81.907	-1.924	167.000	1.520	
		10.800	232.59	3.885	-273.150	0.000	114.480	10.000	-0.090	-1.003	-0.475	81.450	-1.416	167.000	1.520	
		10.900	235.76	3.885	-273.150	0.000	110.615	10.000	-0.070	-0.969	-0.472	80.960	-1.120	167.000	1.520	
		11.000	238.83	3.885	-273.150	0.000	107.226	10.000	-0.062	-0.914	-0.470	80.440	-1.043	167.000	1.520	
		11.100	241.81	3.885	-273.150	0.000	104.147	10.000	-0.066	-0.850	-0.466	79.896	-1.184	167.000	1.514	
		11.200	244.74	3.885	-273.150	0.000	101.192	10.000	-0.083	-0.791	-0.464	79.301	-1.562	167.000	1.510	
		11.300	247.56	3.885	-273.150	0.000	98.564	10.000	-0.110	-0.752	-0.464	78.665	-2.181	167.000	1.510	
		11.400	250.31	3.885	-273.150	0.000	96.092	10.000	-0.145	-0.729	-0.464	77.993	-3.012	167.000	1.510	
		11.500	252.98	3.885	-273.150	0.000	93.480	10.000	-0.188	-0.719	-0.468	77.268	-4.021	167.000	1.510	
		11.600	255.59	3.885	-273.150	0.000	91.021	10.000	-0.237	-0.717	-0.474	76.500	-5.217	167.000	1.510	
		11.700	258.15	3.885	-273.150	0.000	88.398	10.000	-0.292	-0.715	-0.489	75.651	-6.622	167.000	1.510	
		11.800	260.60	3.885	-273.150	0.000	85.560	10.000	-0.348	-0.704	-0.506	74.735	-8.172	167.000	1.510	
		11.900	262.97	3.885	-273.150	0.000	82.842	10.000	-0.405	-0.681	-0.514	73.745	-9.772	167.000	1.502	
		12.000	265.27	3.885	-273.150	0.000	80.422	10.000	-0.461	-0.648	-0.525	72.634	-11.437	167.000	1.500	
		12.100	267.53	3.885	-273.150	0.000	78.120	10.000	-0.517	-0.606	-0.584	71.355	-13.150	167.000	1.500	
		12.200	269.71	3.885	-273.150	0.000	76.040	10.000	-0.569	-0.562	-0.734	69.845	-14.828	167.000	1.500	
		12.300	271.83	3.885	-273.150	0.000	74.172	10.000	-0.615	-0.523	-0.833	68.146	-16.372	167.000	1.500	
		12.400	273.90	3.885	-273.150	0.000	72.318	10.000	-0.652	-0.494	-0.887	66.275	-17.702	166.010	1.500	
		12.500	275.92	3.885	-273.150	0.000	70.672	10.000	-0.678	-0.478	-0.929	64.220	-18.761	166.000	1.500	
		12.600	277.92	3.885	-273.150	0.000	69.198	10.000	-0.694	-0.473	-1.012	61.930	-19.536	166.000	1.500	
		12.700	279.85	3.885	-273.150	0.000	67.447	10.000	-0.695	-0.479	-1.177	59.422	-20.069	166.000	1.500	
		12.800	281.73	3.885	-273.150	0.000	65.696	10.000	-0.688	-0.483	-1.269	56.711	-20.264	166.000	1.500	
		12.900	283.56	3.885	-273.150	0.000	63.915	10.000	-0.681	-0.479	-1.291	53.834	-20.548	166.000	1.502	
		13.000	285.33	3.885	-273.150	0.000	61.958	10.000	-0.679	-0.460	-1.265	50.820	-21.217	166.000	1.510	
		13.100	287.07	3.885	-273.150	0.000	60.114	10.000	-0.690	-0.425	-1.254	47.685	-22.456	166.000	1.510	
		13.200	288.75	3.885	-273.150	0.000	58.750	10.000	-0.715	-0.375	-1.332	44.539	-24.126	166.000	1.513	
		13.300	290.39	3.885	-273.150	0.000	57.420	10.000	-0.749	-0.314	-1.307	41.675	-26.298	166.000	1.520	
		13.400	292.01	3.885	-273.150	0.000	56.452	10.000	-0.778	-0.251	-1.245	39.710	-28.203	166.000	1.520	
		13.500	293.62	3.885	-273.150	0.000	55.655	10.000	-0.805	-0.188	-1.175	38.185	-29.935	166.000	1.523	
		13.600	295.20	3.885	-273.150	0.000	55.219	10.000	-0.831	-0.120	-1.121	36.704	-31.539	166.000	1.534	
		13.700	296.78	3.885	-273.150	0.000	55.271	10.000	-0.857	-0.045	-1.083	35.276	-32.979	166.000	1.544	
		13.800	298.36	3.885	-273.150	0.000	55.344	10.000	-0.886	0.034	-1.065	33.545	-34.409	166.000	1.550	
		13.900	299.95	3.885	-273.150	0.000	55.635	10.000	-0.922	0.121	-1.069	31.242	-35.685	166.000	1.555	
		14.000	301.58	3.885	-273.150	0.000	56.410	10.000	-0.958	0.208	-1.022	28.821	-36.560	166.000	1.560	
		14.100	303.22	3.885	-273.150	0.000	57.332	10.000	-0.982	0.287	-0.924	26.692	-37.359	166.000	1.560	
		14.200	304.89	3.885	-273.150	0.000	58.213	10.000	-0.962	0.360	-0.801	24.872	-36.446	166.000	1.566	
		14.300	306.59	3.885	-273.150	0.000	59.380	10.000	-0.874	0.421	-0.714	23.356	-32.186	166.000	1.570	
		14.400	308.35	3.885	-273.150	0.000	60.924	10.000	-0.724	0.464	-0.689	22.119	-25.461	166.000	1.576	
		14.500	310.14	3.885	-273.150	0.000	62.639	10.000	-0.536	0.488	-0.653	21.167	-18.058	166.000	1.580	
		14.600	311.98	3.885	-273.150	0.000	64.460	10.000	-0.334	0.494	-0.600	20.521	-10.702	166.000	1.580	
		14.700	313.87	3.885	-273.150	0.000	66.241	10.000	-0.141	0.487	-0.563	20.171	-4.254	166.000	1.580	
		14.800	315.82	3.885	-273.150	0.000	67.992	10.000	0.032	0.472	-0.503	20.126	1.017	165.240	1.580	
		14.900	317.83	3.885	-273.150	0.000	69.760	10.000	0.187	0.451	-0.377	20.409	5.313	165.800	1.588	
		15.000	319.87	3.885	-273.150	0.000	71.428	10.000	0.323	0.420	-0.178	21.001	8.817	166.000	1.590	
		15.100	321.96	3.885	-273.150	0.000	72.904	10.000	0.448	0.378	-0.035	21.877	11.700	166.000	1.590	
		15.200	324.09	3.885	-273.150	0.000	74.435	10.000	0.574	0.323	0.054	23.012	14.506	166.000	1.608	
		15.300	326.27	3.885	-273.150	0.000	75.623	10.000	0.710	0.256	0.170	24.394	17.534	166.000	1.619	
		15.400	328.46	3.885	-273.150	0.000	76.468	10.000	0.855	0.183	0.315	25.996	20.776	166.000	1.620	
		15.500	330.67	3.885	-273.150	0.000	77.292	10.000	1.007	0.109	0.497	27.840	24.306	166.000	1.630	
		15.600	332.88	3.885	-273.150	0.000	77.396	10.000	1.151	0.049	0.609	29.930	27.966	166.000	1.630	
		15.700	335.09	3.885	-273.150	0.000	77.190	10.000	1.256	0.015	0.660	32.228	30.538	166.000	1.650	
		15.800	337.32	3.885	-273.150	0.000	76.995	10.000	1.325	-0.002	0.687	34.706	32.119	166.000	1.651	
		15.900	339.52	3.885	-273.150	0.000	76.944	10.000	1.364	-0.009	0.757	37.293	32.978	166.000	1.660	
		16.000	341.72	3.885	-273.150	0.000	76.915	10.000	1.383	-0.011	0.895	39.997	33.520	166.000	1.660	
		16.100	343.92	3.885	-273.150	0.000	77.018	10.000	1.395	-0.016	0.926	42.795	33.942	166.000	1.664	
		16.200	346.15	3.885	-273.150	0.000	77.122	10.000	1.405	-0.020	0.879	45.687	34.481	166.000	1.680	
		16.300	348.36	3.885	-273.150	0.000	77.175	10.000	1.413	-0.019	0.844	48.584	35.049	166.000	1.682	
		16.400	350.56	3.885	-273.150	0.000	77.044	10.000	1.414	-0.009	0.828	51.506	35.474	166.000	1.690	
		16.500	352.76	3.885	-273.150	0.000	76.931	10.000	1.402	0.015	0.793	54.434	35.546	166.000	1.690	
		16.600	354.97	3.885	-273.150	0.000	77.051	10.000	1.367	0.056	0.689	57.322	34.982	166.000	1.693	
		16.700	357.20	3.885	-273.150	0.000	77.207	10.000	1.311	0.107	0.541	60.172	33.660	166.000	1.700	
		16.800	359.42	3.886	-273.150	0.000	77.587	10.000	1.239	0.161	0.385	62.901	31.772	166.000	1.704	
		16.900	361.66	3.886	-273.150	0.000	78.264	10.000	1.155	0.212	0.276	65.529	29.479	166.000	1.710	
		17.000	363.92	3.886	-273.150	0.000	79.070	10.000	1.066	0.257	0.211	68.015	26.970	166.000	1.710	
		17.100	366.21	3.886	-273.150	0.000	80.100	10.000	0.981	0.291	0.158	70.342	24.535	166.000	1.715	
		17.200	368.56	3.887	-273.150	0.000	81.194	10.000	0.907	0.316	0.122	72.538	22.384	166.000	1.725	
		17.300	370.91	3.887	-273.150	0.000	82.384	10.000	0.844	0.332	0.096	74.561	20.571	166.000	1.730	
		17.400	373.31	3.887	-273.150	0.000	83.680	10.000	0.791	0.341	0.083	76.431	19.032	166.000	1.736	
		17.500	375.74	3.887	-273.150	0.000	84.956	10.000	0.744	0.343	0.084	78.128	17.708	166.000	1.740	
		17.600	378.23	3.887	-273.150	0.000	86.204	10.000	0.701	0.338	0.075	79.673	16.506	166.000	1.740	
		17.700	380.73	3.887	-273.150	0.000	87.440	10.000	0.655	0.331	0.041	81.036	15.317	166.000	1.747	
		17.800	383.26	3.887	-273.150	0.000	88.603	10.000	0.602	0.324	-0.017	82.254	13.996	166.000	1.750	
		17.900	385.83	3.887	-273.150	0.000	89.736	10.000	0.536	0.318	-0.104	83.339	12.383	166.000	1.758	
		18.000	388.43	3.887	-273.150	0.000	90.948	10.000	0.455	0.318	-0.148	84.262	10.340	166.000	1.760	
		18.100	391.09	3.887	-273.150	0.000	92.030	10.000	0.363	0.323	-0.183	85.042	8.132	166.000	1.760	
		18.200	393.75	3.887	-273.150	0.000	93.146	10.000	0.273	0.333	-0.223	85.697	6.016	166.000	1.760	
		18.300	396.45	3.887	-273.150	0.000	94.368	10.000	0.190	0.343	-0.265	86.243	4.078	166.000	1.769	
		18.400	399.18	3.887	-273.150	0.000	95.604	10.000	0.115	0.353	-0.311	86.689	2.398	166.000	1.770	
		18.500	401.98	3.887	-273.150	0.000	96.948	10.000	0.055	0.361	-0.359	87.031	1.038	166.000	1.770	
		18.600	404.79	3.887	-273.150	0.000	98.287	10.000	0.011	0.367	-0.406	87.282	0.124	166.000	1.770	
		18.700	407.64	3.887	-273.150	0.000	99.626	10.000	-0.021	0.372	-0.441	87.459	-0.512	166.000	1.770	
		18.800	410.53	3.887	-273.150	0.000	100.970	10.000	-0.044	0.373	-0.458	87.586	-0.931	166.000	1.770	
		18.900	413.46	3.887	-273.150	0.000	102.404	10.000	-0.063	0.372	-0.460	87.653	-1.240	166.000	1.770	
		19.000	416.46	3.887	-273.150	0.000	103.756	10.000	-0.083	0.367	-0.415	87.672	-1.590	166.000	1.770	
		19.100	419.47	3.887	-273.150	0.000	105.080	10.000	-0.110	0.360	-0.383	87.646	-2.076	166.000	1.770	
		19.200	422.51	3.887	-273.150	0.000	106.334	10.000	-0.142	0.351	-0.340	87.605	-2.659	166.000	1.772	
		19.300	425.59	3.887	-273.150	0.000	107.652	10.000	-0.177	0.342	-0.287	87.532	-3.329	166.000	1.780	
		19.400	428.73	3.887	-273.150	0.000	108.875	10.000	-0.212	0.331	-0.228	87.445	-4.004	166.000	1.780	
		19.500	431.88	3.887	-273.150	0.000	110.036	10.000	-0.237	0.321	-0.160	87.348	-4.464	166.000	1.780	
		19.600	435.06	3.887	-273.150	0.000	111.210	10.000	-0.246	0.310	-0.124	87.238	-4.614	166.000	1.780	
		19.700	438.27	3.887	-273.150	0.000	112.274	10.000	-0.238	0.298	-0.107	87.124	-4.458	166.000	1.780	
		19.800	441.52	3.887	-273.150	0.000	113.407	10.000	-0.213	0.285	-0.103	87.013	-3.962	166.000	1.776	
		19.900	444.83	3.887	-273.150	0.000	114.469	10.000	-0.169	0.270	-0.108	86.899	-3.106	166.000	1.770	
		20.000	448.13	3.887	-273.150	0.000	115.396	10.000	-0.110	0.255	-0.127	86.793	-1.993	166.000	1.770	
		20.100	451.45	3.887	-273.150	0.000	116.276	10.000	-0.046	0.240	-0.151	86.686	-0.802	166.000	1.770	
		20.200	454.80	3.887	-273.150	0.000	117.100	10.000	0.013	0.229	-0.163	86.586	0.310	166.000	1.770	
		20.300	458.21	3.887	-273.150	0.000	117.878	9.460	0.061	0.221	-0.163	86.497	1.174	166.000	1.770	
		20.400	461.60	3.887	-273.150	0.000	118.656	9.000	0.089	0.218	-0.141	86.421	1.647	166.000	1.770	
		20.500	465.02	3.887	-273.150	0.000	119.480	9.000	0.096	0.219	-0.122	86.350	1.738	166.000	1.770	
		20.600	468.46	3.887	-273.150	0.000	120.241	9.000	0.088	0.222	-0.120	86.293	1.546	166.000	1.770	
		20.700	471.92	3.887	-273.150	0.000	121.028	9.000	0.070	0.226	-0.124	86.261	1.188	166.000	1.770	
		20.800	475.44	3.887	-273.150	0.000	121.930	9.000	0.047	0.229	-0.130	86.245	0.766	166.000	1.770	
		20.900	478.96	3.887	-273.150	0.000	122.784	9.000	0.027	0.229	-0.140	86.250	0.392	166.000	1.770	
		21.000	482.49	3.887	-273.150	0.000	123.608	9.760	0.013	0.228	-0.156	86.280	0.159	166.000	1.770	
		21.100	486.05	3.887	-273.150	0.000	124.432	10.000	0.007	0.225	-0.174	86.324	0.061	166.000	1.770	
		21.200	489.64	3.887	-273.150	0.000	125.256	10.000	0.005	0.221	-0.192	86.381	0.065	166.000	1.778	
		21.300	493.28	3.887	-273.150	0.000	126.088	10.000	0.007	0.216	-0.209	86.450	0.109	166.000	1.780	
		21.400	496.91	3.887	-273.150	0.000	126.823	10.000	0.009	0.213	-0.222	86.521	0.136	166.000	1.780	
		21.500	500.56	3.887	-273.150	0.000	127.636	10.000	0.010	0.210	-0.234	86.581	0.159	166.000	1.780	
		21.600	504.23	3.887	-273.150	0.000	128.365	10.000	0.011	0.208	-0.240	86.629	0.161	166.000	1.780	
		21.700	507.96	3.887	-273.150	0.000	129.093	10.000	0.013	0.208	-0.240	86.677	0.184	166.000	1.790	
		21.800	511.67	3.887	-273.150	0.000	129.816	10.000	0.017	0.208	-0.234	86.701	0.232	166.000	1.790	
		21.900	515.41	3.887	-273.150	0.000	130.635	10.000	0.025	0.207	-0.223	86.724	0.354	166.000	1.790	
		22.000	519.17	3.887	-273.150	0.000	131.364	10.000	0.037	0.205	-0.223	86.735	0.544	166.000	1.790	
		22.100	522.95	3.887	-273.150	0.000	132.177	10.000	0.049	0.202	-0.218	86.736	0.754	166.000	1.790	
		22.200	526.79	3.887	-273.150	0.000	132.905	10.000	0.060	0.200	-0.217	86.746	0.935	166.000	1.790	
		22.300	530.61	3.887	-273.150	0.000	133.626	10.000	0.065	0.198	-0.212	86.748	1.024	166.000	1.790	
		22.400	534.46	3.887	-273.150	0.000	134.347	10.000	0.062	0.199	-0.211	86.760	0.957	166.000	1.790	
